Date,Rice,Chicken,Beef,Eggs,Shallots,Garlic,Red Chili,Bird's Eye Chili,Cooking Oil,Sugar
2021-01-01,-,-,-,-,-,-,-,-,-,-
2021-01-04,"11,800","36,050","118,750","27,700","33,950","28,550","57,500","68,900","14,450","14,400"
2021-01-05,"11,800","36,000","119,300","27,600","33,850","28,500","57,350","68,500","14,500","14,450"
2021-01-06,"11,800","36,100","119,400","27,650","33,700","28,450","56,350","68,850","14,500","14,400"
2021-01-07,"11,800","36,150","119,400","27,600","33,550","28,500","55,900","69,550","14,500","14,400"
2021-01-08,"11,800","35,800","119,450","27,550","33,350","28,450","54,900","69,800","14,500","14,400"
2021-01-11,"11,800","35,700","119,350","27,450","33,050","28,300","52,850","69,700","14,500","14,400"
2021-01-12,"11,800","35,700","119,300","27,350","32,900","28,200","52,650","70,150","14,500","14,400"
2021-01-13,"11,800","35,600","119,250","27,250","32,950","28,200","51,800","69,400","14,500","14,400"
2021-01-14,"11,800","35,600","119,250","27,200","32,950","28,250","51,250","69,550","14,500","14,450"
2021-01-15,"11,800","35,400","119,550","27,100","32,800","28,350","51,350","69,900","14,500","14,450"
2021-01-18,"11,800","35,100","119,300","26,800","32,650","28,350","52,400","70,100","14,500","14,450"
2021-01-19,"11,800","35,000","119,350","26,550","32,600","28,250","52,050","69,600","14,500","14,450"
2021-01-20,"11,800","34,850","119,200","26,550","32,500","28,250","51,550","69,150","14,500","14,450"
2021-01-21,"11,800","34,750","118,850","26,500","32,400","28,250","50,550","68,200","14,500","14,400"
2021-01-22,"11,800","34,750","118,950","26,400","32,350","28,200","49,700","68,100","14,500","14,400"
2021-01-25,"11,800","34,400","119,750","26,150","31,900","28,050","47,600","67,300","14,500","14,400"
2021-01-26,"11,800","34,200","119,750","26,100","31,950","28,050","47,550","67,050","14,500","14,400"
2021-01-27,"11,800","34,100","119,850","25,950","31,800","28,000","46,950","67,300","14,500","14,400"
2021-01-28,"11,800","34,050","119,550","25,750","31,700","28,750","46,700","66,750","14,500","14,400"
2021-01-29,"11,850","33,700","119,950","25,750","31,650","28,000","47,650","67,600","14,500","14,400"
2021-02-01,"11,800","33,550","119,600","25,300","31,450","27,900","48,350","67,350","14,500","14,400"
2021-02-02,"11,800","33,700","119,500","25,350","31,400","28,000","49,250","68,150","14,500","14,400"
2021-02-03,"11,800","33,550","119,550","25,400","31,300","28,000","50,300","68,700","14,500","14,350"
2021-02-04,"11,800","33,750","119,550","25,400","31,350","27,950","50,550","68,700","14,500","14,350"
2021-02-05,"11,800","33,800","119,550","25,550","31,250","27,950","50,800","68,500","14,500","14,350"
2021-02-08,"11,800","34,250","119,500","25,700","31,250","27,950","50,850","69,300","14,500","14,350"
2021-02-09,"11,800","34,350","119,650","25,750","31,350","28,000","50,750","69,350","14,500","14,400"
2021-02-10,"11,800","34,550","119,650","25,750","31,750","28,050","50,250","69,300","14,500","14,350"
2021-02-11,"11,800","34,550","119,650","25,850","32,050","28,250","50,750","69,400","14,500","14,350"
